target_discharge,qualifiers_target_discharge,date
30200,['A'],2022-06-01
26900,['A'],2022-06-02
24500,['A'],2022-06-03
24600,['A'],2022-06-04
25600,['A'],2022-06-05
28800,['A'],2022-06-06
32500,['A'],2022-06-07
32800,['A'],2022-06-08
30500,['A'],2022-06-09
28200,['A'],2022-06-10
34600,['A'],2022-06-11
50200,['A'],2022-06-12
62300,['A'],2022-06-13
69400,['A'],2022-06-14
68600,['A'],2022-06-15
61000,"['A', 'e']",2022-06-16
49800,['A'],2022-06-17
40600,['A'],2022-06-18
35100,['A'],2022-06-19
32000,['A'],2022-06-20
29800,['A'],2022-06-21
26800,['A'],2022-06-22
24400,['A'],2022-06-23
22900,['A'],2022-06-24
21500,['A'],2022-06-25
19500,['A'],2022-06-26
18000,['A'],2022-06-27
16900,['A'],2022-06-28
16300,['A'],2022-06-29
16500,['A'],2022-06-30
16300,['A'],2022-07-01
15700,['A'],2022-07-02
15400,['A'],2022-07-03
15800,['A'],2022-07-04
16100,['A'],2022-07-05
15900,['A'],2022-07-06
14800,['A'],2022-07-07
13900,['A'],2022-07-08
12700,['A'],2022-07-09
12200,['A'],2022-07-10
11900,['A'],2022-07-11
11700,['A'],2022-07-12
11200,['A'],2022-07-13
11100,['A'],2022-07-14
11000,['A'],2022-07-15
10700,['A'],2022-07-16
10000,['A'],2022-07-17
9440,['A'],2022-07-18
9220,['A'],2022-07-19
9130,['A'],2022-07-20
8680,['A'],2022-07-21
8240,['A'],2022-07-22
7900,['A'],2022-07-23
8300,['A'],2022-07-24
8240,['A'],2022-07-25
8070,['A'],2022-07-26
7930,['A'],2022-07-27
7730,['A'],2022-07-28
7730,['A'],2022-07-29
7820,['A'],2022-07-30
8060,['A'],2022-07-31
7940,['A'],2022-08-01
7900,['A'],2022-08-02
7750,['A'],2022-08-03
7370,['A'],2022-08-04
7320,['A'],2022-08-05
7300,['A'],2022-08-06
7490,['A'],2022-08-07
7510,['A'],2022-08-08
7400,['A'],2022-08-09
7410,['A'],2022-08-10
7720,['A'],2022-08-11
7590,['A'],2022-08-12
7620,['A'],2022-08-13
7630,['A'],2022-08-14
7620,['A'],2022-08-15
7500,['A'],2022-08-16
7460,['A'],2022-08-17
7470,['A'],2022-08-18
7440,['A'],2022-08-19
7580,['A'],2022-08-20
7590,['A'],2022-08-21
7670,['A'],2022-08-22
7460,['A'],2022-08-23
7380,['A'],2022-08-24
7210,['A'],2022-08-25
7060,['A'],2022-08-26
7100,['A'],2022-08-27
7440,['A'],2022-08-28
7920,['A'],2022-08-29
7800,['A'],2022-08-30
7950,['A'],2022-08-31
13600,['A'],2023-06-01
13300,['A'],2023-06-02
13100,['A'],2023-06-03
12800,['A'],2023-06-04
12800,['A'],2023-06-05
12600,['A'],2023-06-06
12400,['A'],2023-06-07
12200,['A'],2023-06-08
11700,['A'],2023-06-09
11700,['A'],2023-06-10
11800,['A'],2023-06-11
11700,['A'],2023-06-12
11400,['A'],2023-06-13
11100,['A'],2023-06-14
10500,['A'],2023-06-15
10500,['A'],2023-06-16
10200,['A'],2023-06-17
10100,['A'],2023-06-18
9930,['A'],2023-06-19
10000,['A'],2023-06-20
10100,['A'],2023-06-21
9620,['A'],2023-06-22
9350,['A'],2023-06-23
9460,['A'],2023-06-24
9180,['A'],2023-06-25
9060,['A'],2023-06-26
9020,['A'],2023-06-27
9040,['A'],2023-06-28
8880,['A'],2023-06-29
8680,['A'],2023-06-30
8550,['A'],2023-07-01
8390,['A'],2023-07-02
8330,['A'],2023-07-03
8210,['A'],2023-07-04
8130,['A'],2023-07-05
8030,['A'],2023-07-06
7880,['A'],2023-07-07
7860,['A'],2023-07-08
7940,['A'],2023-07-09
8010,['A'],2023-07-10
8010,['A'],2023-07-11
7920,['A'],2023-07-12
7850,['A'],2023-07-13
7790,['A'],2023-07-14
7660,['A'],2023-07-15
7380,['A'],2023-07-16
6960,['A'],2023-07-17
6810,['A'],2023-07-18
6780,['A'],2023-07-19
6840,['A'],2023-07-20
6770,['A'],2023-07-21
6860,['A'],2023-07-22
6590,['A'],2023-07-23
6440,['A'],2023-07-24
6510,['A'],2023-07-25
6490,['A'],2023-07-26
6520,['A'],2023-07-27
6600,['A'],2023-07-28
6430,['A'],2023-07-29
6470,['A'],2023-07-30
6520,['A'],2023-07-31
6540,['A'],2023-08-01
6470,['A'],2023-08-02
6230,['A'],2023-08-03
6350,['A'],2023-08-04
6340,['A'],2023-08-05
6610,['A'],2023-08-06
6860,['A'],2023-08-07
6770,['A'],2023-08-08
6770,['A'],2023-08-09
6600,['A'],2023-08-10
6540,['A'],2023-08-11
6630,['A'],2023-08-12
6610,['A'],2023-08-13
6800,['A'],2023-08-14
6740,['A'],2023-08-15
6630,['A'],2023-08-16
6490,['A'],2023-08-17
6330,['A'],2023-08-18
6290,['A'],2023-08-19
6110,['A'],2023-08-20
6090,['A'],2023-08-21
6140,['A'],2023-08-22
6150,['A'],2023-08-23
6180,['A'],2023-08-24
6320,['A'],2023-08-25
6450,['A'],2023-08-26
6690,['A'],2023-08-27
6680,['A'],2023-08-28
6970,['A'],2023-08-29
7010,['A'],2023-08-30
7150,['A'],2023-08-31
13400,['A'],2024-06-01
13600,['A'],2024-06-02
15800,['A'],2024-06-03
24000,['A'],2024-06-04
22700,['A'],2024-06-05
19600,['A'],2024-06-06
17700,['A'],2024-06-07
16700,['A'],2024-06-08
16100,['A'],2024-06-09
15000,['A'],2024-06-10
14100,['A'],2024-06-11
13300,['A'],2024-06-12
12400,['A'],2024-06-13
11900,['A'],2024-06-14
11600,['A'],2024-06-15
11500,['A'],2024-06-16
11600,['A'],2024-06-17
11200,['A'],2024-06-18
10700,['A'],2024-06-19
10200,['A'],2024-06-20
9910,['A'],2024-06-21
9670,['A'],2024-06-22
9650,['A'],2024-06-23
9690,['A'],2024-06-24
9500,['A'],2024-06-25
9340,['A'],2024-06-26
8920,['A'],2024-06-27
8600,['A'],2024-06-28
9060,['A'],2024-06-29
9510,['A'],2024-06-30
9940,['A'],2024-07-01
10200,['A'],2024-07-02
10200,['A'],2024-07-03
9950,['A'],2024-07-04
9820,['A'],2024-07-05
9880,['A'],2024-07-06
9780,['A'],2024-07-07
9660,['A'],2024-07-08
9370,['A'],2024-07-09
9310,['A'],2024-07-10
9210,['A'],2024-07-11
9110,['A'],2024-07-12
9090,['A'],2024-07-13
9140,['A'],2024-07-14
9100,['A'],2024-07-15
8310,['A'],2024-07-16
7810,['A'],2024-07-17
6870,['A'],2024-07-18
6850,['A'],2024-07-19
7020,['A'],2024-07-20
7150,['A'],2024-07-21
7280,['A'],2024-07-22
7410,['A'],2024-07-23
7320,['A'],2024-07-24
7570,['A'],2024-07-25
8400,['A'],2024-07-26
8660,['A'],2024-07-27
8590,['A'],2024-07-28
8170,['A'],2024-07-29
7650,['A'],2024-07-30
7460,['A'],2024-07-31
7450,['A'],2024-08-01
7410,['A'],2024-08-02
7310,['A'],2024-08-03
7800,['A'],2024-08-04
7770,['A'],2024-08-05
7480,['A'],2024-08-06
7480,['A'],2024-08-07
7440,['A'],2024-08-08
7430,['A'],2024-08-09
7430,['A'],2024-08-10
7430,['A'],2024-08-11
7370,['A'],2024-08-12
7380,['A'],2024-08-13
7220,['A'],2024-08-14
7170,['A'],2024-08-15
7150,['A'],2024-08-16
7270,['A'],2024-08-17
7490,['A'],2024-08-18
7560,['A'],2024-08-19
7720,['A'],2024-08-20
7230,['A'],2024-08-21
7080,['A'],2024-08-22
7180,['A'],2024-08-23
7400,['A'],2024-08-24
7640,['A'],2024-08-25
7550,['A'],2024-08-26
7290,['A'],2024-08-27
7090,['A'],2024-08-28
7100,['A'],2024-08-29
7140,['A'],2024-08-30
7360,['A'],2024-08-31
11000,['A'],2025-06-01
10600,['A'],2025-06-02
10200,['A'],2025-06-03
10100,['A'],2025-06-04
9960,['A'],2025-06-05
9770,['A'],2025-06-06
9760,['A'],2025-06-07
9310,['A'],2025-06-08
8840,['A'],2025-06-09
8190,['A'],2025-06-10
7880,['A'],2025-06-11
7680,['A'],2025-06-12
7360,['A'],2025-06-13
7340,['A'],2025-06-14
7380,['A'],2025-06-15
7540,['A'],2025-06-16
7340,['A'],2025-06-17
7460,['A'],2025-06-18
7130,['A'],2025-06-19
7130,['A'],2025-06-20
7320,['A'],2025-06-21
8240,['A'],2025-06-22
9120,['A'],2025-06-23
8910,['A'],2025-06-24
8200,['A'],2025-06-25
7600,['A'],2025-06-26
7350,['A'],2025-06-27
7360,['A'],2025-06-28
7460,['A'],2025-06-29
7280,['A'],2025-06-30
7260,['A'],2025-07-01
7110,['A'],2025-07-02
7000,['A'],2025-07-03
6870,['A'],2025-07-04
6950,['A'],2025-07-05
7020,['A'],2025-07-06
7000,['A'],2025-07-07
7380,['A'],2025-07-08
6590,['A'],2025-07-09
6580,['A'],2025-07-10
6700,['A'],2025-07-11
6670,['A'],2025-07-12
6630,['A'],2025-07-13
6530,['A'],2025-07-14
6450,['A'],2025-07-15
6370,['A'],2025-07-16
6270,['A'],2025-07-17
6220,['A'],2025-07-18
6330,['A'],2025-07-19
6300,['A'],2025-07-20
6420,['A'],2025-07-21
6490,['A'],2025-07-22
6520,['A'],2025-07-23
6430,['A'],2025-07-24
6480,['A'],2025-07-25
6350,['A'],2025-07-26
6500,['A'],2025-07-27
6260,['A'],2025-07-28
6360,['A'],2025-07-29
6210,['A'],2025-07-30
6320,['A'],2025-07-31
6320,['A'],2025-08-01
6230,['A'],2025-08-02
6230,['A'],2025-08-03
6300,['A'],2025-08-04
6370,['A'],2025-08-05
6410,['A'],2025-08-06
6380,['A'],2025-08-07
6540,['A'],2025-08-08
6510,['A'],2025-08-09
6610,['A'],2025-08-10
6500,['A'],2025-08-11
6380,['A'],2025-08-12
6270,['A'],2025-08-13
6220,['A'],2025-08-14
6330,['A'],2025-08-15
6200,['A'],2025-08-16
6500,['A'],2025-08-17
6530,['A'],2025-08-18
6550,['A'],2025-08-19
6410,['A'],2025-08-20
6410,['A'],2025-08-21
6410,['A'],2025-08-22
6660,['A'],2025-08-23
6790,['A'],2025-08-24
6810,['A'],2025-08-25
6770,['A'],2025-08-26
6690,['A'],2025-08-27
6630,['A'],2025-08-28
6640,['A'],2025-08-29
6520,['A'],2025-08-30
6740,['A'],2025-08-31
9830,['P'],2026-06-01
