max_airtemp_f,min_airtemp_f,mean_airtemp_f,dewpoint_2m_max,date
74.8,50.7,61.7,59.8,2022-06-01
75.0,51.3,62.7,58.8,2022-06-02
62.0,52.8,56.8,54.8,2022-06-03
61.5,52.0,56.2,58.6,2022-06-04
64.4,52.7,58.5,56.5,2022-06-05
62.0,48.0,55.6,52.1,2022-06-06
69.1,46.8,58.5,56.2,2022-06-07
70.2,55.0,61.4,53.7,2022-06-08
69.1,49.3,58.5,60.8,2022-06-09
69.1,55.5,60.4,61.8,2022-06-10
67.3,53.4,59.4,58.6,2022-06-11
58.1,47.7,51.9,52.1,2022-06-12
59.4,47.0,52.6,47.2,2022-06-13
62.2,48.0,55.2,48.9,2022-06-14
65.6,45.9,55.9,52.8,2022-06-15
65.0,50.3,57.8,51.3,2022-06-16
60.6,50.0,53.9,54.7,2022-06-17
61.6,45.9,53.6,51.7,2022-06-18
62.3,50.5,55.6,51.4,2022-06-19
71.1,49.6,58.9,55.8,2022-06-20
79.0,50.2,64.3,61.2,2022-06-21
75.7,55.0,64.4,59.3,2022-06-22
73.4,46.6,59.4,48.5,2022-06-23
79.7,47.3,63.8,51.7,2022-06-24
89.2,58.9,73.7,54.2,2022-06-25
94.7,63.5,78.1,66.8,2022-06-26
89.4,60.2,73.3,58.5,2022-06-27
71.1,54.0,61.3,51.5,2022-06-28
75.8,49.5,62.7,58.3,2022-06-29
79.1,51.2,65.2,61.0,2022-06-30
78.5,54.1,65.9,55.2,2022-07-01
74.8,51.6,62.6,55.5,2022-07-02
72.2,56.4,63.4,51.3,2022-07-03
75.3,51.1,63.5,52.5,2022-07-04
72.3,56.2,63.4,64.0,2022-07-05
75.9,58.5,66.1,60.2,2022-07-06
75.2,55.7,65.0,56.8,2022-07-07
80.1,56.7,67.7,56.5,2022-07-08
81.1,55.0,67.2,54.7,2022-07-09
79.5,53.2,67.0,54.8,2022-07-10
95.0,59.5,77.4,57.6,2022-07-11
92.6,63.6,77.6,56.9,2022-07-12
80.9,55.7,67.6,51.3,2022-07-13
85.5,53.8,68.5,54.8,2022-07-14
82.5,53.1,67.0,56.2,2022-07-15
76.3,59.8,66.8,56.4,2022-07-16
81.1,58.5,66.4,50.7,2022-07-17
81.4,53.2,66.6,53.7,2022-07-18
91.6,57.1,73.9,58.1,2022-07-19
92.2,60.8,76.0,60.0,2022-07-20
87.8,58.4,70.2,58.1,2022-07-21
79.9,54.3,66.3,53.8,2022-07-22
80.7,53.0,65.9,52.4,2022-07-23
94.4,57.3,74.3,56.6,2022-07-24
101.2,65.6,82.9,60.0,2022-07-25
101.1,64.0,82.2,60.4,2022-07-26
99.2,62.1,79.7,61.5,2022-07-27
100.3,65.6,82.3,63.7,2022-07-28
101.8,68.3,85.3,63.7,2022-07-29
102.7,70.9,86.2,64.2,2022-07-30
102.7,69.0,84.6,59.5,2022-07-31
89.7,64.1,74.6,60.2,2022-08-01
89.2,60.5,74.2,57.9,2022-08-02
84.5,60.1,70.4,51.6,2022-08-03
77.7,56.9,65.9,52.2,2022-08-04
84.2,54.0,68.6,51.5,2022-08-05
92.9,55.6,74.1,52.0,2022-08-06
99.9,62.1,80.7,53.0,2022-08-07
86.5,59.7,71.3,55.5,2022-08-08
87.6,58.9,70.4,60.3,2022-08-09
84.1,59.6,67.4,55.7,2022-08-10
87.3,56.8,70.2,57.2,2022-08-11
80.9,55.8,65.7,54.1,2022-08-12
80.9,56.2,67.7,54.5,2022-08-13
85.1,55.0,70.5,56.0,2022-08-14
89.8,57.1,73.1,57.5,2022-08-15
91.5,59.5,74.2,58.0,2022-08-16
102.0,64.6,81.3,62.5,2022-08-17
97.5,70.2,82.9,62.2,2022-08-18
83.6,62.4,71.3,59.5,2022-08-19
83.3,58.4,69.7,57.0,2022-08-20
90.1,57.1,72.8,61.2,2022-08-21
86.2,62.1,73.4,58.4,2022-08-22
86.5,60.8,72.8,58.5,2022-08-23
95.0,61.5,75.8,63.0,2022-08-24
93.9,61.9,76.2,60.3,2022-08-25
85.1,60.5,70.1,58.4,2022-08-26
76.9,57.8,65.7,56.5,2022-08-27
80.3,53.8,66.2,53.5,2022-08-28
94.5,57.9,75.2,57.7,2022-08-29
96.1,61.0,77.8,59.5,2022-08-30
91.5,61.2,73.6,57.2,2022-08-31
70.6,42.4,57.5,43.7,2023-06-01
75.4,46.0,59.6,46.0,2023-06-02
78.4,47.0,61.9,48.3,2023-06-03
75.6,48.6,61.1,44.4,2023-06-04
81.2,51.9,66.1,39.8,2023-06-05
91.1,53.3,72.1,49.6,2023-06-06
81.5,55.3,67.5,53.0,2023-06-07
77.1,51.2,62.6,51.5,2023-06-08
60.8,54.5,56.8,56.0,2023-06-09
75.1,50.4,61.7,53.8,2023-06-10
80.5,52.7,65.7,54.6,2023-06-11
88.0,55.7,71.6,57.0,2023-06-12
75.7,54.1,64.4,54.4,2023-06-13
69.8,50.2,58.3,45.4,2023-06-14
75.2,46.0,60.6,47.6,2023-06-15
81.3,51.2,65.8,55.0,2023-06-16
71.1,53.3,61.1,54.0,2023-06-17
61.4,48.8,54.5,45.0,2023-06-18
61.1,42.7,52.5,46.2,2023-06-19
66.9,46.2,56.2,49.1,2023-06-20
75.9,47.8,62.2,49.4,2023-06-21
85.4,54.9,70.4,51.4,2023-06-22
82.2,56.2,68.4,52.4,2023-06-23
81.1,50.1,65.8,50.7,2023-06-24
83.8,52.5,68.0,49.2,2023-06-25
81.3,53.2,66.2,50.6,2023-06-26
81.2,52.9,66.4,54.5,2023-06-27
84.7,55.5,69.6,55.9,2023-06-28
87.3,56.8,71.7,56.0,2023-06-29
86.2,58.2,71.0,54.5,2023-06-30
84.3,54.1,68.2,48.3,2023-07-01
85.6,55.8,69.8,50.6,2023-07-02
88.0,55.1,72.7,48.1,2023-07-03
94.7,58.3,77.7,50.0,2023-07-04
96.3,61.4,80.1,49.1,2023-07-05
89.3,59.1,73.2,53.5,2023-07-06
80.7,54.0,65.5,53.4,2023-07-07
80.1,52.4,65.0,52.9,2023-07-08
83.0,53.1,67.1,54.0,2023-07-09
78.3,51.8,64.0,52.2,2023-07-10
81.1,54.8,67.7,54.7,2023-07-11
83.3,58.8,70.0,55.6,2023-07-12
85.3,58.4,71.8,65.5,2023-07-13
92.0,60.3,76.4,54.9,2023-07-14
97.4,61.2,78.8,53.8,2023-07-15
90.4,60.6,73.9,54.0,2023-07-16
78.7,59.5,68.6,54.6,2023-07-17
87.5,54.8,70.9,51.5,2023-07-18
95.1,58.2,75.3,57.6,2023-07-19
86.5,58.6,70.8,55.8,2023-07-20
86.9,57.7,72.2,57.2,2023-07-21
89.2,61.6,74.9,56.9,2023-07-22
88.0,60.7,72.2,55.2,2023-07-23
76.6,55.9,65.4,58.0,2023-07-24
79.8,62.2,69.3,58.1,2023-07-25
83.0,55.1,69.0,50.9,2023-07-26
82.9,55.7,68.7,53.2,2023-07-27
82.8,55.6,68.3,53.7,2023-07-28
81.5,55.4,67.1,52.8,2023-07-29
80.5,55.9,67.5,51.8,2023-07-30
83.0,54.0,68.9,51.1,2023-07-31
86.9,56.0,71.5,52.0,2023-08-01
87.9,57.4,72.7,52.2,2023-08-02
86.4,58.0,72.1,55.8,2023-08-03
88.7,60.2,73.4,53.8,2023-08-04
89.2,62.8,73.2,60.3,2023-08-05
87.8,62.6,73.4,61.0,2023-08-06
82.7,63.7,72.1,59.4,2023-08-07
85.8,58.3,71.4,57.2,2023-08-08
81.5,60.3,70.0,59.1,2023-08-09
81.4,59.5,69.4,57.2,2023-08-10
84.1,58.5,71.1,55.9,2023-08-11
88.9,59.1,73.2,58.9,2023-08-12
100.9,64.3,82.2,57.7,2023-08-13
105.3,68.6,87.7,58.1,2023-08-14
101.8,71.2,86.1,62.2,2023-08-15
102.2,71.1,86.2,66.7,2023-08-16
94.8,71.2,80.6,60.8,2023-08-17
83.8,60.4,70.2,59.9,2023-08-18
90.1,51.8,70.3,48.4,2023-08-19
92.2,58.3,74.8,49.3,2023-08-20
82.3,56.5,67.7,49.4,2023-08-21
74.2,53.7,63.8,52.9,2023-08-22
79.3,55.4,66.5,53.8,2023-08-23
92.0,55.3,73.2,53.1,2023-08-24
91.8,64.9,77.1,61.7,2023-08-25
90.9,59.9,73.3,57.7,2023-08-26
87.2,59.8,69.7,58.6,2023-08-27
78.3,57.7,66.6,59.8,2023-08-28
77.6,61.2,67.2,57.6,2023-08-29
78.1,58.9,67.3,60.3,2023-08-30
64.2,59.7,61.7,61.7,2023-08-31
69.8,50.7,59.1,50.6,2024-06-01
58.4,55.0,56.4,57.1,2024-06-02
61.9,51.3,55.4,55.2,2024-06-03
63.4,51.2,57.3,56.0,2024-06-04
70.0,47.3,58.8,49.4,2024-06-05
77.8,50.7,64.0,53.5,2024-06-06
82.0,51.3,66.7,52.1,2024-06-07
79.5,55.5,67.5,54.2,2024-06-08
78.0,53.8,64.1,55.8,2024-06-09
77.3,48.4,62.5,52.2,2024-06-10
70.2,52.5,61.2,53.3,2024-06-11
72.4,46.2,59.0,46.8,2024-06-12
74.3,46.3,60.0,46.6,2024-06-13
67.6,45.7,56.9,48.0,2024-06-14
61.9,48.8,54.5,47.5,2024-06-15
61.5,44.1,51.8,47.4,2024-06-16
64.8,41.6,52.9,47.5,2024-06-17
70.8,44.8,57.4,47.2,2024-06-18
82.2,48.1,65.4,57.7,2024-06-19
86.8,53.3,70.6,54.6,2024-06-20
89.5,59.4,72.9,53.6,2024-06-21
82.9,55.4,68.4,55.4,2024-06-22
74.5,57.0,63.7,55.4,2024-06-23
75.7,49.1,62.7,49.7,2024-06-24
86.0,52.2,68.8,57.5,2024-06-25
68.8,54.8,62.1,57.2,2024-06-26
68.5,54.0,61.2,52.0,2024-06-27
78.9,50.7,65.1,52.9,2024-06-28
81.9,56.8,67.3,59.1,2024-06-29
79.2,57.0,67.8,60.6,2024-06-30
81.8,55.2,67.8,57.1,2024-07-01
77.5,50.5,63.5,49.5,2024-07-02
82.1,50.3,65.4,52.7,2024-07-03
90.9,56.8,73.6,52.0,2024-07-04
98.6,62.5,80.4,50.6,2024-07-05
97.6,59.0,81.1,66.7,2024-07-06
98.5,61.1,81.5,61.8,2024-07-07
101.6,63.8,83.8,58.1,2024-07-08
102.2,64.5,85.1,58.4,2024-07-09
93.9,67.4,79.0,50.4,2024-07-10
86.8,59.5,71.8,52.5,2024-07-11
87.9,55.1,71.3,54.8,2024-07-12
95.1,57.6,75.7,57.5,2024-07-13
93.5,63.6,76.9,56.2,2024-07-14
87.7,57.3,72.1,56.0,2024-07-15
98.2,59.9,77.6,55.8,2024-07-16
85.2,57.6,70.1,55.2,2024-07-17
84.7,54.2,69.0,54.3,2024-07-18
89.7,56.5,72.8,61.3,2024-07-19
95.7,61.1,78.0,59.1,2024-07-20
89.1,59.3,73.4,57.9,2024-07-21
79.2,57.7,66.0,51.5,2024-07-22
83.6,52.8,67.0,50.9,2024-07-23
82.9,55.5,67.6,52.7,2024-07-24
76.7,53.5,64.6,51.4,2024-07-25
83.6,52.9,67.8,52.5,2024-07-26
83.4,53.4,67.6,54.4,2024-07-27
79.7,54.0,66.0,54.7,2024-07-28
70.2,57.1,63.5,61.2,2024-07-29
81.4,62.2,69.9,60.6,2024-07-30
86.8,57.7,72.2,60.0,2024-07-31
99.1,61.2,79.1,63.9,2024-08-01
92.0,62.2,76.0,64.2,2024-08-02
89.0,63.9,74.7,60.8,2024-08-03
92.1,57.5,74.4,58.6,2024-08-04
88.6,58.0,72.5,58.5,2024-08-05
82.1,54.0,67.2,51.7,2024-08-06
91.1,54.5,71.6,58.9,2024-08-07
96.2,61.2,77.4,62.2,2024-08-08
90.9,58.7,73.3,58.9,2024-08-09
89.5,59.3,73.2,56.3,2024-08-10
82.2,60.5,69.3,58.4,2024-08-11
76.1,55.8,64.0,51.8,2024-08-12
76.4,54.1,63.7,53.8,2024-08-13
78.5,54.5,67.4,56.9,2024-08-14
76.6,59.2,67.4,57.3,2024-08-15
79.4,58.4,68.2,55.3,2024-08-16
84.7,57.6,67.3,66.0,2024-08-17
75.1,57.4,65.3,59.5,2024-08-18
79.9,54.0,64.8,54.1,2024-08-19
78.5,53.3,65.5,55.0,2024-08-20
74.8,53.6,64.0,56.8,2024-08-21
67.2,57.7,61.8,57.4,2024-08-22
69.0,54.4,59.7,55.7,2024-08-23
71.4,49.6,60.0,52.3,2024-08-24
77.3,50.3,63.7,51.6,2024-08-25
83.0,51.6,67.1,55.8,2024-08-26
73.5,55.7,63.2,56.4,2024-08-27
76.3,49.1,62.1,48.9,2024-08-28
89.4,53.0,70.9,46.8,2024-08-29
93.4,53.4,73.2,53.5,2024-08-30
95.3,57.4,75.0,59.2,2024-08-31
69.2,44.4,57.2,47.8,2025-06-01
71.8,46.5,58.5,48.7,2025-06-02
75.7,45.8,59.9,50.5,2025-06-03
66.8,55.0,60.6,53.1,2025-06-04
76.6,50.9,62.7,57.8,2025-06-05
81.4,56.7,68.4,60.3,2025-06-06
