max_watertemp_c,qualifiers_max_watertemp,dateTime,mean_watertemp_c,qualifiers_mean_watertemp
14.4,['A'],2022-06-01T00:00:00.000,13.8,['A']
15.2,['A'],2022-06-02T00:00:00.000,14.6,['A']
15.1,['A'],2022-06-03T00:00:00.000,14.7,['A']
14.2,['A'],2022-06-04T00:00:00.000,13.8,"['A', '[4]']"
14.0,"['A', '[4]']",2022-06-05T00:00:00.000,13.5,"['A', '[4]']"
14.3,"['A', '[4]']",2022-06-06T00:00:00.000,,
13.8,['A'],2022-06-07T00:00:00.000,13.4,['A']
13.8,['A'],2022-06-08T00:00:00.000,13.4,['A']
14.2,['A'],2022-06-09T00:00:00.000,13.8,['A']
14.3,['A'],2022-06-10T00:00:00.000,14.0,['A']
13.8,['A'],2022-06-11T00:00:00.000,13.6,['A']
13.3,['A'],2022-06-12T00:00:00.000,12.6,['A']
12.2,['A'],2022-06-13T00:00:00.000,11.8,['A']
12.2,['A'],2022-06-14T00:00:00.000,11.8,['A']
12.5,['A'],2022-06-15T00:00:00.000,12.3,['A']
13.2,['A'],2022-06-16T00:00:00.000,12.8,['A']
13.3,['A'],2022-06-17T00:00:00.000,13.1,['A']
13.1,['A'],2022-06-18T00:00:00.000,12.8,['A']
13.2,['A'],2022-06-19T00:00:00.000,13.0,['A']
14.0,['A'],2022-06-20T00:00:00.000,13.4,['A']
15.4,['A'],2022-06-21T00:00:00.000,14.5,['A']
17.1,['A'],2022-06-22T00:00:00.000,16.2,['A']
17.3,['A'],2022-06-23T00:00:00.000,16.7,['A']
17.3,['A'],2022-06-24T00:00:00.000,16.8,['A']
18.0,['A'],2022-06-25T00:00:00.000,17.3,['A']
19.1,['A'],2022-06-26T00:00:00.000,18.3,['A']
20.1,['A'],2022-06-27T00:00:00.000,19.4,['A']
19.5,['A'],2022-06-28T00:00:00.000,19.1,['A']
19.0,['A'],2022-06-29T00:00:00.000,18.4,['A']
18.9,['A'],2022-06-30T00:00:00.000,18.2,['A']
18.9,['A'],2022-07-01T00:00:00.000,18.2,['A']
18.2,['A'],2022-07-02T00:00:00.000,17.9,['A']
17.9,['A'],2022-07-03T00:00:00.000,17.3,['A']
17.8,['A'],2022-07-04T00:00:00.000,17.1,['A']
17.9,['A'],2022-07-05T00:00:00.000,17.4,['A']
18.2,['A'],2022-07-06T00:00:00.000,17.7,['A']
18.9,['A'],2022-07-07T00:00:00.000,17.9,['A']
19.5,['A'],2022-07-08T00:00:00.000,18.5,['A']
20.3,['A'],2022-07-09T00:00:00.000,19.2,['A']
20.8,['A'],2022-07-10T00:00:00.000,19.8,['A']
21.6,['A'],2022-07-11T00:00:00.000,20.5,['A']
22.6,['A'],2022-07-12T00:00:00.000,21.4,['A']
22.3,['A'],2022-07-13T00:00:00.000,21.4,['A']
22.1,['A'],2022-07-14T00:00:00.000,21.1,['A']
21.9,['A'],2022-07-15T00:00:00.000,20.9,['A']
21.1,['A'],2022-07-16T00:00:00.000,20.6,['A']
20.7,['A'],2022-07-17T00:00:00.000,19.9,['A']
20.8,['A'],2022-07-18T00:00:00.000,20.0,['A']
21.9,['A'],2022-07-19T00:00:00.000,20.8,['A']
23.0,['A'],2022-07-20T00:00:00.000,21.8,['A']
23.1,['A'],2022-07-21T00:00:00.000,22.2,['A']
22.5,['A'],2022-07-22T00:00:00.000,21.8,['A']
21.7,['A'],2022-07-23T00:00:00.000,21.0,['A']
22.2,['A'],2022-07-24T00:00:00.000,21.2,['A']
23.2,['A'],2022-07-25T00:00:00.000,22.0,['A']
24.3,['A'],2022-07-26T00:00:00.000,23.1,['A']
24.5,['A'],2022-07-27T00:00:00.000,23.5,['A']
24.6,['A'],2022-07-28T00:00:00.000,23.7,['A']
25.1,['A'],2022-07-29T00:00:00.000,24.1,['A']
25.4,['A'],2022-07-30T00:00:00.000,24.5,['A']
25.0,['A'],2022-07-31T00:00:00.000,24.3,['A']
24.2,['A'],2022-08-01T00:00:00.000,23.5,['A']
23.9,['A'],2022-08-02T00:00:00.000,23.0,['A']
23.7,['A'],2022-08-03T00:00:00.000,22.8,['A']
22.7,['A'],2022-08-04T00:00:00.000,22.0,['A']
22.4,['A'],2022-08-05T00:00:00.000,21.6,['A']
22.6,['A'],2022-08-06T00:00:00.000,21.7,['A']
22.9,['A'],2022-08-07T00:00:00.000,22.0,['A']
22.5,['A'],2022-08-08T00:00:00.000,21.8,['A']
22.2,['A'],2022-08-09T00:00:00.000,21.4,['A']
21.4,['A'],2022-08-10T00:00:00.000,20.9,['A']
21.7,['A'],2022-08-11T00:00:00.000,20.7,['A']
21.8,['A'],2022-08-12T00:00:00.000,21.0,['A']
21.5,['A'],2022-08-13T00:00:00.000,20.8,['A']
21.6,['A'],2022-08-14T00:00:00.000,20.9,['A']
22.1,['A'],2022-08-15T00:00:00.000,21.1,['A']
22.3,['A'],2022-08-16T00:00:00.000,21.5,['A']
22.5,['A'],2022-08-17T00:00:00.000,21.8,['A']
22.2,['A'],2022-08-18T00:00:00.000,22.0,['A']
22.5,['A'],2022-08-19T00:00:00.000,21.7,['A']
21.7,['A'],2022-08-20T00:00:00.000,21.1,['A']
21.5,['A'],2022-08-21T00:00:00.000,20.9,['A']
21.9,['A'],2022-08-22T00:00:00.000,21.1,['A']
22.3,['A'],2022-08-23T00:00:00.000,21.4,['A']
22.5,['A'],2022-08-24T00:00:00.000,21.7,['A']
22.8,['A'],2022-08-25T00:00:00.000,22.0,['A']
22.5,['A'],2022-08-26T00:00:00.000,21.9,['A']
21.9,['A'],2022-08-27T00:00:00.000,21.0,['A']
20.5,['A'],2022-08-28T00:00:00.000,19.9,['A']
20.6,['A'],2022-08-29T00:00:00.000,20.0,['A']
21.4,['A'],2022-08-30T00:00:00.000,20.6,['A']
21.7,['A'],2022-08-31T00:00:00.000,21.0,['A']
21.4,['A'],2022-09-01T00:00:00.000,20.8,['A']
21.2,['A'],2022-09-02T00:00:00.000,20.6,['A']
20.2,['A'],2022-09-03T00:00:00.000,19.8,['A']
20.0,['A'],2022-09-04T00:00:00.000,19.2,['A']
19.3,['A'],2022-09-05T00:00:00.000,18.7,['A']
19.3,['A'],2022-09-06T00:00:00.000,18.5,['A']
19.1,['A'],2022-09-07T00:00:00.000,18.5,['A']
18.4,['A'],2022-09-08T00:00:00.000,17.9,['A']
18.0,['A'],2022-09-09T00:00:00.000,17.4,['A']
17.6,['A'],2022-09-10T00:00:00.000,17.2,['A']
17.2,['A'],2022-09-11T00:00:00.000,16.8,['A']
17.6,['A'],2022-09-12T00:00:00.000,17.0,['A']
17.2,['A'],2022-09-13T00:00:00.000,16.9,['A']
17.1,['A'],2022-09-14T00:00:00.000,16.7,['A']
17.3,['A'],2022-09-15T00:00:00.000,16.9,['A']
17.4,['A'],2022-09-16T00:00:00.000,16.9,['A']
17.0,['A'],2022-09-17T00:00:00.000,16.6,['A']
16.5,['A'],2022-09-18T00:00:00.000,16.2,['A']
17.0,['A'],2022-09-19T00:00:00.000,16.3,['A']
17.1,['A'],2022-09-20T00:00:00.000,16.5,['A']
17.0,['A'],2022-09-21T00:00:00.000,16.6,['A']
16.7,['A'],2022-09-22T00:00:00.000,16.3,['A']
16.2,['A'],2022-09-23T00:00:00.000,15.7,['A']
16.8,['A'],2022-09-24T00:00:00.000,16.0,['A']
17.1,['A'],2022-09-25T00:00:00.000,16.5,['A']
17.4,['A'],2022-09-26T00:00:00.000,16.8,['A']
17.7,['A'],2022-09-27T00:00:00.000,17.0,['A']
17.4,['A'],2022-09-28T00:00:00.000,16.9,['A']
16.9,['A'],2022-09-29T00:00:00.000,16.5,['A']
16.4,['A'],2022-09-30T00:00:00.000,16.1,['A']
16.6,['A'],2022-10-01T00:00:00.000,16.0,['A']
17.3,['A'],2022-10-02T00:00:00.000,16.6,['A']
17.3,['A'],2022-10-03T00:00:00.000,16.8,['A']
16.8,['A'],2022-10-04T00:00:00.000,16.3,['A']
16.0,['A'],2022-10-05T00:00:00.000,15.7,['A']
15.7,['A'],2022-10-06T00:00:00.000,15.3,['A']
15.6,['A'],2022-10-07T00:00:00.000,15.2,['A']
15.8,['A'],2022-10-08T00:00:00.000,15.4,['A']
15.9,['A'],2022-10-09T00:00:00.000,15.5,['A']
