discharge,qualifiers_discharge,dateTime
30200,['A'],2022-06-01T00:00:00.000
26900,['A'],2022-06-02T00:00:00.000
24500,['A'],2022-06-03T00:00:00.000
24600,['A'],2022-06-04T00:00:00.000
25600,['A'],2022-06-05T00:00:00.000
28800,['A'],2022-06-06T00:00:00.000
32500,['A'],2022-06-07T00:00:00.000
32800,['A'],2022-06-08T00:00:00.000
30500,['A'],2022-06-09T00:00:00.000
28200,['A'],2022-06-10T00:00:00.000
34600,['A'],2022-06-11T00:00:00.000
50200,['A'],2022-06-12T00:00:00.000
62300,['A'],2022-06-13T00:00:00.000
69400,['A'],2022-06-14T00:00:00.000
68600,['A'],2022-06-15T00:00:00.000
61000,"['A', 'e']",2022-06-16T00:00:00.000
49800,['A'],2022-06-17T00:00:00.000
40600,['A'],2022-06-18T00:00:00.000
35100,['A'],2022-06-19T00:00:00.000
32000,['A'],2022-06-20T00:00:00.000
29800,['A'],2022-06-21T00:00:00.000
26800,['A'],2022-06-22T00:00:00.000
24400,['A'],2022-06-23T00:00:00.000
22900,['A'],2022-06-24T00:00:00.000
21500,['A'],2022-06-25T00:00:00.000
19500,['A'],2022-06-26T00:00:00.000
18000,['A'],2022-06-27T00:00:00.000
16900,['A'],2022-06-28T00:00:00.000
16300,['A'],2022-06-29T00:00:00.000
16500,['A'],2022-06-30T00:00:00.000
16300,['A'],2022-07-01T00:00:00.000
15700,['A'],2022-07-02T00:00:00.000
15400,['A'],2022-07-03T00:00:00.000
15800,['A'],2022-07-04T00:00:00.000
16100,['A'],2022-07-05T00:00:00.000
15900,['A'],2022-07-06T00:00:00.000
14800,['A'],2022-07-07T00:00:00.000
13900,['A'],2022-07-08T00:00:00.000
12700,['A'],2022-07-09T00:00:00.000
12200,['A'],2022-07-10T00:00:00.000
11900,['A'],2022-07-11T00:00:00.000
11700,['A'],2022-07-12T00:00:00.000
11200,['A'],2022-07-13T00:00:00.000
11100,['A'],2022-07-14T00:00:00.000
11000,['A'],2022-07-15T00:00:00.000
10700,['A'],2022-07-16T00:00:00.000
10000,['A'],2022-07-17T00:00:00.000
9440,['A'],2022-07-18T00:00:00.000
9220,['A'],2022-07-19T00:00:00.000
9130,['A'],2022-07-20T00:00:00.000
8680,['A'],2022-07-21T00:00:00.000
8240,['A'],2022-07-22T00:00:00.000
7900,['A'],2022-07-23T00:00:00.000
8300,['A'],2022-07-24T00:00:00.000
8240,['A'],2022-07-25T00:00:00.000
8070,['A'],2022-07-26T00:00:00.000
7930,['A'],2022-07-27T00:00:00.000
7730,['A'],2022-07-28T00:00:00.000
7730,['A'],2022-07-29T00:00:00.000
7820,['A'],2022-07-30T00:00:00.000
8060,['A'],2022-07-31T00:00:00.000
7940,['A'],2022-08-01T00:00:00.000
7900,['A'],2022-08-02T00:00:00.000
7750,['A'],2022-08-03T00:00:00.000
7370,['A'],2022-08-04T00:00:00.000
7320,['A'],2022-08-05T00:00:00.000
7300,['A'],2022-08-06T00:00:00.000
7490,['A'],2022-08-07T00:00:00.000
7510,['A'],2022-08-08T00:00:00.000
7400,['A'],2022-08-09T00:00:00.000
7410,['A'],2022-08-10T00:00:00.000
7720,['A'],2022-08-11T00:00:00.000
7590,['A'],2022-08-12T00:00:00.000
7620,['A'],2022-08-13T00:00:00.000
7630,['A'],2022-08-14T00:00:00.000
7620,['A'],2022-08-15T00:00:00.000
7500,['A'],2022-08-16T00:00:00.000
7460,['A'],2022-08-17T00:00:00.000
7470,['A'],2022-08-18T00:00:00.000
7440,['A'],2022-08-19T00:00:00.000
7580,['A'],2022-08-20T00:00:00.000
7590,['A'],2022-08-21T00:00:00.000
7670,['A'],2022-08-22T00:00:00.000
7460,['A'],2022-08-23T00:00:00.000
7380,['A'],2022-08-24T00:00:00.000
7210,['A'],2022-08-25T00:00:00.000
7060,['A'],2022-08-26T00:00:00.000
7100,['A'],2022-08-27T00:00:00.000
7440,['A'],2022-08-28T00:00:00.000
7920,['A'],2022-08-29T00:00:00.000
7800,['A'],2022-08-30T00:00:00.000
7950,['A'],2022-08-31T00:00:00.000
7550,['A'],2022-09-01T00:00:00.000
8340,['A'],2022-09-02T00:00:00.000
9210,['A'],2022-09-03T00:00:00.000
9840,['A'],2022-09-04T00:00:00.000
10000,['A'],2022-09-05T00:00:00.000
9950,['A'],2022-09-06T00:00:00.000
10100,['A'],2022-09-07T00:00:00.000
9960,['A'],2022-09-08T00:00:00.000
9900,['A'],2022-09-09T00:00:00.000
9830,['A'],2022-09-10T00:00:00.000
9870,['A'],2022-09-11T00:00:00.000
9590,['A'],2022-09-12T00:00:00.000
9650,['A'],2022-09-13T00:00:00.000
9250,['A'],2022-09-14T00:00:00.000
9240,['A'],2022-09-15T00:00:00.000
9110,['A'],2022-09-16T00:00:00.000
9010,['A'],2022-09-17T00:00:00.000
8900,['A'],2022-09-18T00:00:00.000
8890,['A'],2022-09-19T00:00:00.000
9060,['A'],2022-09-20T00:00:00.000
8970,['A'],2022-09-21T00:00:00.000
8940,['A'],2022-09-22T00:00:00.000
8790,['A'],2022-09-23T00:00:00.000
8790,['A'],2022-09-24T00:00:00.000
8990,['A'],2022-09-25T00:00:00.000
9010,['A'],2022-09-26T00:00:00.000
8890,['A'],2022-09-27T00:00:00.000
8880,['A'],2022-09-28T00:00:00.000
8970,['A'],2022-09-29T00:00:00.000
8990,['A'],2022-09-30T00:00:00.000
9410,['A'],2022-10-01T00:00:00.000
10000,['A'],2022-10-02T00:00:00.000
10300,['A'],2022-10-03T00:00:00.000
10200,['A'],2022-10-04T00:00:00.000
10400,['A'],2022-10-05T00:00:00.000
10500,['A'],2022-10-06T00:00:00.000
10700,['A'],2022-10-07T00:00:00.000
10900,['A'],2022-10-08T00:00:00.000
11200,['A'],2022-10-09T00:00:00.000
11600,['A'],2022-10-10T00:00:00.000
11400,['A'],2022-10-11T00:00:00.000
10800,['A'],2022-10-12T00:00:00.000
10500,['A'],2022-10-13T00:00:00.000
10800,['A'],2022-10-14T00:00:00.000
11400,['A'],2022-10-15T00:00:00.000
11700,['A'],2022-10-16T00:00:00.000
11600,['A'],2022-10-17T00:00:00.000
11800,['A'],2022-10-18T00:00:00.000
11900,['A'],2022-10-19T00:00:00.000
