discharge,qualifiers_discharge,dateTime
26100,['A'],2022-06-01T00:00:00.000
23300,['A'],2022-06-02T00:00:00.000
21800,['A'],2022-06-03T00:00:00.000
21900,['A'],2022-06-04T00:00:00.000
23600,['A'],2022-06-05T00:00:00.000
26900,['A'],2022-06-06T00:00:00.000
30100,['A'],2022-06-07T00:00:00.000
29200,['A'],2022-06-08T00:00:00.000
26600,['A'],2022-06-09T00:00:00.000
25900,['A'],2022-06-10T00:00:00.000
36100,['A'],2022-06-11T00:00:00.000
52000,['A'],2022-06-12T00:00:00.000
64300,['A'],2022-06-13T00:00:00.000
67900,['A'],2022-06-14T00:00:00.000
62600,['A'],2022-06-15T00:00:00.000
53100,['A'],2022-06-16T00:00:00.000
41600,['A'],2022-06-17T00:00:00.000
34900,['A'],2022-06-18T00:00:00.000
30500,['A'],2022-06-19T00:00:00.000
28400,['A'],2022-06-20T00:00:00.000
26000,['A'],2022-06-21T00:00:00.000
23200,['A'],2022-06-22T00:00:00.000
21400,['A'],2022-06-23T00:00:00.000
20300,['A'],2022-06-24T00:00:00.000
19100,['A'],2022-06-25T00:00:00.000
17300,['A'],2022-06-26T00:00:00.000
15900,['A'],2022-06-27T00:00:00.000
15100,['A'],2022-06-28T00:00:00.000
14900,['A'],2022-06-29T00:00:00.000
15200,['A'],2022-06-30T00:00:00.000
14900,['A'],2022-07-01T00:00:00.000
14300,['A'],2022-07-02T00:00:00.000
14000,['A'],2022-07-03T00:00:00.000
14900,['A'],2022-07-04T00:00:00.000
14700,['A'],2022-07-05T00:00:00.000
14300,['A'],2022-07-06T00:00:00.000
13400,['A'],2022-07-07T00:00:00.000
12100,['A'],2022-07-08T00:00:00.000
11300,['A'],2022-07-09T00:00:00.000
11000,['A'],2022-07-10T00:00:00.000
10800,['A'],2022-07-11T00:00:00.000
10600,['A'],2022-07-12T00:00:00.000
10400,['A'],2022-07-13T00:00:00.000
10100,['A'],2022-07-14T00:00:00.000
10000,['A'],2022-07-15T00:00:00.000
9700,['A'],2022-07-16T00:00:00.000
9060,['A'],2022-07-17T00:00:00.000
8560,['A'],2022-07-18T00:00:00.000
8330,['A'],2022-07-19T00:00:00.000
8210,['A'],2022-07-20T00:00:00.000
8120,['A'],2022-07-21T00:00:00.000
7960,['A'],2022-07-22T00:00:00.000
7900,['A'],2022-07-23T00:00:00.000
7950,['A'],2022-07-24T00:00:00.000
7930,['A'],2022-07-25T00:00:00.000
7750,['A'],2022-07-26T00:00:00.000
7600,['A'],2022-07-27T00:00:00.000
7460,['A'],2022-07-28T00:00:00.000
7400,['A'],2022-07-29T00:00:00.000
7420,['A'],2022-07-30T00:00:00.000
7490,['A'],2022-07-31T00:00:00.000
7480,['A'],2022-08-01T00:00:00.000
7370,['A'],2022-08-02T00:00:00.000
7190,['A'],2022-08-03T00:00:00.000
6900,['A'],2022-08-04T00:00:00.000
6740,['A'],2022-08-05T00:00:00.000
6720,['A'],2022-08-06T00:00:00.000
6860,['A'],2022-08-07T00:00:00.000
6800,['A'],2022-08-08T00:00:00.000
6780,['A'],2022-08-09T00:00:00.000
7000,['A'],2022-08-10T00:00:00.000
7060,['A'],2022-08-11T00:00:00.000
7000,['A'],2022-08-12T00:00:00.000
6980,['A'],2022-08-13T00:00:00.000
6960,['A'],2022-08-14T00:00:00.000
6940,['A'],2022-08-15T00:00:00.000
6820,['A'],2022-08-16T00:00:00.000
6770,['A'],2022-08-17T00:00:00.000
6800,['A'],2022-08-18T00:00:00.000
6850,['A'],2022-08-19T00:00:00.000
6940,['A'],2022-08-20T00:00:00.000
6940,['A'],2022-08-21T00:00:00.000
6930,['A'],2022-08-22T00:00:00.000
6780,['A'],2022-08-23T00:00:00.000
6640,['A'],2022-08-24T00:00:00.000
6600,['A'],2022-08-25T00:00:00.000
6560,['A'],2022-08-26T00:00:00.000
6690,['A'],2022-08-27T00:00:00.000
7100,['A'],2022-08-28T00:00:00.000
7180,['A'],2022-08-29T00:00:00.000
7010,['A'],2022-08-30T00:00:00.000
7030,['A'],2022-08-31T00:00:00.000
7210,['A'],2022-09-01T00:00:00.000
8060,['A'],2022-09-02T00:00:00.000
8890,['A'],2022-09-03T00:00:00.000
9470,['A'],2022-09-04T00:00:00.000
9560,['A'],2022-09-05T00:00:00.000
9490,['A'],2022-09-06T00:00:00.000
9470,['A'],2022-09-07T00:00:00.000
9420,['A'],2022-09-08T00:00:00.000
9400,['A'],2022-09-09T00:00:00.000
9290,['A'],2022-09-10T00:00:00.000
9020,['A'],2022-09-11T00:00:00.000
8950,['A'],2022-09-12T00:00:00.000
8770,['A'],2022-09-13T00:00:00.000
8640,['A'],2022-09-14T00:00:00.000
8610,['A'],2022-09-15T00:00:00.000
8320,['A'],2022-09-16T00:00:00.000
8250,['A'],2022-09-17T00:00:00.000
8260,['A'],2022-09-18T00:00:00.000
8230,['A'],2022-09-19T00:00:00.000
8180,['A'],2022-09-20T00:00:00.000
8190,['A'],2022-09-21T00:00:00.000
8140,['A'],2022-09-22T00:00:00.000
8160,['A'],2022-09-23T00:00:00.000
8160,['A'],2022-09-24T00:00:00.000
8150,['A'],2022-09-25T00:00:00.000
8140,['A'],2022-09-26T00:00:00.000
8060,['A'],2022-09-27T00:00:00.000
8080,['A'],2022-09-28T00:00:00.000
8220,['A'],2022-09-29T00:00:00.000
8560,['A'],2022-09-30T00:00:00.000
8860,['A'],2022-10-01T00:00:00.000
9290,['A'],2022-10-02T00:00:00.000
9480,['A'],2022-10-03T00:00:00.000
9570,['A'],2022-10-04T00:00:00.000
9790,['A'],2022-10-05T00:00:00.000
9990,['A'],2022-10-06T00:00:00.000
10000,['A'],2022-10-07T00:00:00.000
10300,['A'],2022-10-08T00:00:00.000
