time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,dewpoint_2m_max
2022-06-01,74.8,50.7,61.7,59.8
2022-06-02,75.0,51.3,62.7,58.8
2022-06-03,62.0,52.8,56.8,54.8
2022-06-04,61.5,52.0,56.2,58.6
2022-06-05,64.4,52.7,58.5,56.5
2022-06-06,62.0,48.0,55.6,52.1
2022-06-07,69.1,46.8,58.5,56.2
2022-06-08,70.2,55.0,61.4,53.7
2022-06-09,69.1,49.3,58.5,60.8
2022-06-10,69.1,55.5,60.4,61.8
2022-06-11,67.3,53.4,59.4,58.6
2022-06-12,58.1,47.7,51.9,52.1
2022-06-13,59.4,47.0,52.6,47.2
2022-06-14,62.2,48.0,55.2,48.9
2022-06-15,65.6,45.9,55.9,52.8
2022-06-16,65.0,50.3,57.8,51.3
2022-06-17,60.6,50.0,53.9,54.7
2022-06-18,61.6,45.9,53.6,51.7
2022-06-19,62.3,50.5,55.6,51.4
2022-06-20,71.1,49.6,58.9,55.8
2022-06-21,79.0,50.2,64.3,61.2
2022-06-22,75.7,55.0,64.4,59.3
2022-06-23,73.4,46.6,59.4,48.5
2022-06-24,79.7,47.3,63.8,51.7
2022-06-25,89.2,58.9,73.7,54.2
2022-06-26,94.7,63.5,78.1,66.8
2022-06-27,89.4,60.2,73.3,58.5
2022-06-28,71.1,54.0,61.3,51.5
2022-06-29,75.8,49.5,62.7,58.3
2022-06-30,79.1,51.2,65.2,61.0
2022-07-01,78.5,54.1,65.9,55.2
2022-07-02,74.8,51.6,62.6,55.5
2022-07-03,72.2,56.4,63.4,51.3
2022-07-04,75.3,51.1,63.5,52.5
2022-07-05,72.3,56.2,63.4,64.0
2022-07-06,75.9,58.5,66.1,60.2
2022-07-07,75.2,55.7,65.0,56.8
2022-07-08,80.1,56.7,67.7,56.5
2022-07-09,81.1,55.0,67.2,54.7
2022-07-10,79.5,53.2,67.0,54.8
2022-07-11,95.0,59.5,77.4,57.6
2022-07-12,92.6,63.6,77.6,56.9
2022-07-13,80.9,55.7,67.6,51.3
2022-07-14,85.5,53.8,68.5,54.8
2022-07-15,82.5,53.1,67.0,56.2
2022-07-16,76.3,59.8,66.8,56.4
2022-07-17,81.1,58.5,66.4,50.7
2022-07-18,81.4,53.2,66.6,53.7
2022-07-19,91.6,57.1,73.9,58.1
2022-07-20,92.2,60.8,76.0,60.0
2022-07-21,87.8,58.4,70.2,58.1
2022-07-22,79.9,54.3,66.3,53.8
2022-07-23,80.7,53.0,65.9,52.4
2022-07-24,94.4,57.3,74.3,56.6
2022-07-25,101.2,65.6,82.9,60.0
2022-07-26,101.1,64.0,82.2,60.4
2022-07-27,99.2,62.1,79.7,61.5
2022-07-28,100.3,65.6,82.3,63.7
2022-07-29,101.8,68.3,85.3,63.7
2022-07-30,102.7,70.9,86.2,64.2
2022-07-31,102.7,69.0,84.6,59.5
2022-08-01,89.7,64.1,74.6,60.2
2022-08-02,89.2,60.5,74.2,57.9
2022-08-03,84.5,60.1,70.4,51.6
2022-08-04,77.7,56.9,65.9,52.2
2022-08-05,84.2,54.0,68.6,51.5
2022-08-06,92.9,55.6,74.1,52.0
2022-08-07,99.9,62.1,80.7,53.0
2022-08-08,86.5,59.7,71.3,55.5
2022-08-09,87.6,58.9,70.4,60.3
2022-08-10,84.1,59.6,67.4,55.7
2022-08-11,87.3,56.8,70.2,57.2
2022-08-12,80.9,55.8,65.7,54.1
2022-08-13,80.9,56.2,67.7,54.5
2022-08-14,85.1,55.0,70.5,56.0
2022-08-15,89.8,57.1,73.1,57.5
2022-08-16,91.5,59.5,74.2,58.0
2022-08-17,102.0,64.6,81.3,62.5
2022-08-18,97.5,70.2,82.9,62.2
2022-08-19,83.6,62.4,71.3,59.5
2022-08-20,83.3,58.4,69.7,57.0
2022-08-21,90.1,57.1,72.8,61.2
2022-08-22,86.2,62.1,73.4,58.4
2022-08-23,86.5,60.8,72.8,58.5
2022-08-24,95.0,61.5,75.8,63.0
2022-08-25,93.9,61.9,76.2,60.3
2022-08-26,85.1,60.5,70.1,58.4
2022-08-27,76.9,57.8,65.7,56.5
2022-08-28,80.3,53.8,66.2,53.5
2022-08-29,94.5,57.9,75.2,57.7
2022-08-30,96.1,61.0,77.8,59.5
2022-08-31,91.5,61.2,73.6,57.2
2022-09-01,92.4,56.2,72.4,55.1
2022-09-02,89.5,59.1,71.1,56.2
2022-09-03,77.8,57.6,66.5,55.2
2022-09-04,83.4,53.5,67.7,58.7
2022-09-05,81.7,54.3,67.3,56.5
2022-09-06,92.8,53.5,72.8,51.0
2022-09-07,86.0,59.7,70.8,52.2
2022-09-08,81.9,50.5,65.0,49.0
2022-09-09,90.7,57.7,73.4,44.9
2022-09-10,99.9,68.7,80.8,41.5
2022-09-11,88.2,63.9,73.4,55.2
2022-09-12,79.2,59.7,67.1,61.2
2022-09-13,73.2,56.0,64.6,54.3
2022-09-14,74.1,55.5,64.5,53.8
2022-09-15,72.3,54.7,63.8,53.9
2022-09-16,69.4,56.7,61.8,51.0
2022-09-17,70.4,49.9,59.9,52.7
2022-09-18,80.2,55.8,65.7,54.5
2022-09-19,83.5,51.7,67.5,51.0
2022-09-20,84.1,53.5,68.0,49.0
2022-09-21,78.3,52.8,63.7,56.0
2022-09-22,74.8,54.8,62.8,56.4
2022-09-23,74.5,48.2,61.0,51.4
2022-09-24,79.2,52.9,64.5,53.6
2022-09-25,88.0,50.4,68.2,52.8
2022-09-26,86.8,54.0,69.0,57.0
2022-09-27,77.4,54.6,64.2,55.8
2022-09-28,72.5,55.1,60.5,57.7
2022-09-29,69.2,56.1,61.2,61.4
2022-09-30,74.8,51.7,60.7,55.0
2022-10-01,83.1,57.3,68.2,54.0
2022-10-02,84.1,55.7,68.3,61.2
2022-10-03,81.5,51.9,63.3,57.0
2022-10-04,72.1,52.2,59.5,56.8
2022-10-05,75.6,53.1,61.3,58.5
2022-10-06,81.1,53.0,64.2,62.6
2022-10-07,79.3,53.2,63.4,58.9
2022-10-08,84.1,50.7,65.3,56.8
2022-10-09,85.1,51.3,66.8,57.4
2022-10-10,77.0,50.3,63.7,55.9
2022-10-11,69.7,51.3,60.2,55.8
2022-10-12,78.4,47.0,61.8,54.4
